五つ,五[いつ]つ,いつつ,five (things),[sound:6d4f312f2d50d86bf8e44179d9bdba96.mp3],Noun,,桃を<b>五つ</b>ください。,桃[もも]を<b> 五[いつ]つ</b>ください。,もも を <b>いつつ</b> ください,"I'd like five peaches, please.",桃[もも]を<b>（　）</b>ください。,[sound:8b7eab9f0733ec96fd691fe4b0c1291c.mp3],"<img src=""7437f8d537ef343803e583aa1a18cd6d.jpg"" />",Core 2000 Step 02 - 130,330,12,390,
五,五[ご],ご,five,[sound:ae587e2733040477ee08e55c4e5d262f.mp3],Noun,,<b>五</b>人で旅行に行きました。,<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,<b>ご</b>にん で りょこう に いきました,Five of us went on a trip.,<b>（　）</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,[sound:167bfc26b67448bbbe40694a5ad35f94.mp3],"<img src=""f459ab27e0db4a78e3677bfef485d045.jpg"" />",Core 2000 Step 02 - 147,347,13,181,
六つ,六[むっ]つ,むっつ,six (things),[sound:a28083dd300b29c76d5ca4d6f7d4677f.mp3],Noun,,息子は<b>六つ</b>になりました。,息子[むすこ]は<b> 六[むっ]つ</b>になりました。,むすこ は <b>むっつ</b> に なりました,My son turned six.,息子[むすこ]は<b>（　）</b>になりました。,[sound:3e592748dbe5238f723e755658d7a5ea.mp3],"<img src=""b766d0f79d33a4c129068e03ed39f5f8.jpg"" />",Core 2000 Step 02 - 097,297,14,207,
六,六[ろく],ろく,six,[sound:2741a4b769560f23cd3e2bf77db5636b.mp3],Noun,,彼には子供が<b>六</b>人います。,彼[かれ]には 子供[こども]が<b> 六[ろく]</b> 人[にん]います。,かれ に は こども が <b>ろく</b>にん います,He has six children.,彼[かれ]には 子供[こども]が<b>（　）</b> 人[にん]います。,[sound:691f71e6ae778217bb831d36b5921723.mp3],"<img src=""d4443372f4959f5e5ed148c8c4d2dd6f.jpg"" />",Core 2000 Step 02 - 189,389,15,244,
七,七[なな],なな,seven,[sound:0c8f7397608f60ff2184171ee3555306.mp3],Noun,,バナナが<b>七</b>本あります。,バナナが<b> 七[なな]</b> 本[ほん]あります。,ばなな が <b>なな</b>ほん あります,There are seven bananas.,バナナが<b>（　）</b> 本[ほん]あります。,[sound:2ab78fe7cb59f1c27bd95720dc5ff830.mp3],"<img src=""b8314fad9fe0f6bd9d51745f14036f7a.jpg"" />",Core 2000 Step 02 - 122,322,16,16,
七つ,七[なな]つ,ななつ,seven (things),[sound:7a5f2d9e6b436753e55857e09b60c3f1.mp3],Noun,,この子は今年<b>七つ</b>になります。,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。,この こ は ことし <b>ななつ</b> に なります,Our kid's turning seven this year.,この 子[こ]は 今年[ことし]<b>（　）</b>になります。,[sound:731639dd0d26815936b418a88823422c.mp3],"<img src=""967b0d96ccbf85a488e8af5f89f4a5b7.jpg"" />",Core 2000 Step 02 - 167,367,17,22,
八,八[はち],はち,eight,[sound:45a12ea6a86c31f7d98dfb61682cd472.mp3],Noun,,りんごを<b>八</b>個ください。,りんごを<b> 八[はち]</b> 個[こ]ください。,りんご を <b>はち</b>こ ください,Please give me eight apples.,りんごを<b>（　）</b> 個[こ]ください。,[sound:72170c9a0e487f92fe2f6c9d966511af.mp3],"<img src=""603e332daf7668f7248afe6808dfd3e2.jpg"" />",Core 2000 Step 02 - 106,306,18,132,
八つ,八[やっ]つ,やっつ,eight (things),[sound:189db2096184a14795b7468d13f13639.mp3],Noun,,あの家には時計が<b>八つ</b>あります。,あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。,あの いえ に は とけい が <b>やっつ</b> あります,There are eight clocks in that house.,あの 家[いえ]には 時計[とけい]が<b>（　）</b>あります。,[sound:47de511bb92cfa5ab52b7e5fee4317d6.mp3],"<img src=""b2ee5ac451cee6dc4eb41eb888dd7824.jpg"" />",Core 2000 Step 02 - 183,383,19,138,
なる,なる,なる,become,[sound:4ff4c70bfbd1c435b304f171869b06d2.mp3],Verb,,彼は医者に<b>なりました</b>。,彼[かれ]は 医者[いしゃ]に<b>なりました</b>。,かれ は いしゃ に <b>なりました</b>,He became a doctor.,彼[かれ]は 医者[いしゃ]に<b>（　）</b>。,[sound:058ae1ab7cc51e7242d3c058d47c2a53.mp3],"<img src=""a50848cb014da767611ecde8e68e8b63.jpg"" />",Core 2000 Step 01 - 011,11,20,256,
九,九[きゅう],きゅう,nine,[sound:2e9901925636a16ac7490baecd193be8.mp3],Noun,,野球は<b>九</b>人で1チームです。,野球[やきゅう]は<b> 九[きゅう]</b> 人[にん]で 1[ひと]チームです。,やきゅう は <b>きゅう</b>にん で ひとちーむ です,In baseball there are nine people on one team.,野球[やきゅう]は<b>（　）</b> 人[にん]で 1[ひと]チームです。,[sound:b55304342e1e0de51f343f33023f6656.mp3],"<img src=""005a57db9831d1e46a95bcebea4e46d5.jpg"" />",Core 2000 Step 02 - 113,313,21,283,
九つ,九[ここの]つ,ここのつ,nine (things),[sound:4a2303decb17469658c75cd2d830026b.mp3],Noun,,娘は明日<b>九つ</b>になります。,娘[むすめ]は 明日[あす]<b> 九[ここの]つ</b>になります。,むすめ は あす <b>ここのつ</b> に なります,My daughter's turning nine tomorrow.,娘[むすめ]は 明日[あす]<b>（　）</b>になります。,[sound:2f8d7e0daa15f9da8372cccdc9617985.mp3],"<img src=""87b4ee7e81deac39a64e977863ab1db2.jpg"" />",Core 2000 Step 02 - 149,349,22,205,
十,十[じゅう],じゅう,ten,[sound:e56752055156325fb5b7a954fcc1a9c5.mp3],Noun,,その子は指で<b>十</b>数えました。,その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。,その こ は ゆび で <b>じゅう</b> かぞえました,The child counted to ten on her fingers.,その 子[こ]は 指[ゆび]で<b>（　）</b> 数[かぞ]えました。,[sound:0340b0fc37b4ca13bc58a07c38d60663.mp3],"<img src=""7b4557a1d4bb76f317ef1b6fc8e990ea.jpg"" />",Core 2000 Step 02 - 034,234,23,143,
